task,model,layer,score,direction,auroc,N,pos_rate,results_file
pubmedqa,mistral,24,egh_probe_oof,1,0.7173089008169522,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_mistral\layer_24\pubmedqa_mistral_layer24.B5000.results.jsonl
pubmedqa,mistral,32,egh_probe_oof,1,0.7173089008169522,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_mistral\layer_32\pubmedqa_mistral_layer32.B5000.results.jsonl
pubmedqa,mistral,4,hidden_probe_oof,1,0.6104046335322678,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_mistral\layer_4\pubmedqa_mistral_layer4.B5000.results.jsonl
pubmedqa,mistral,16,hidden_probe_oof,1,0.6863159495819173,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_mistral\layer_16\pubmedqa_mistral_layer16.B5000.results.jsonl
pubmedqa,mistral,24,hidden_probe_oof,1,0.7226284968638801,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_mistral\layer_24\pubmedqa_mistral_layer24.B5000.results.jsonl
pubmedqa,mistral,32,hidden_probe_oof,1,0.7258826967029712,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_mistral\layer_32\pubmedqa_mistral_layer32.B5000.results.jsonl
pubmedqa,mistral,4,lntp,1,0.7128078581120839,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_mistral\layer_4\pubmedqa_mistral_layer4.B5000.results.jsonl
pubmedqa,mistral,16,lntp,1,0.7128078581120839,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_mistral\layer_16\pubmedqa_mistral_layer16.B5000.results.jsonl
pubmedqa,mistral,24,lntp,1,0.7128078581120839,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_mistral\layer_24\pubmedqa_mistral_layer24.B5000.results.jsonl
pubmedqa,mistral,32,lntp,1,0.7128078581120839,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_mistral\layer_32\pubmedqa_mistral_layer32.B5000.results.jsonl
pubmedqa,mistral,4,mtp,1,0.7128078581120839,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_mistral\layer_4\pubmedqa_mistral_layer4.B5000.results.jsonl
pubmedqa,mistral,16,mtp,1,0.7128078581120839,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_mistral\layer_16\pubmedqa_mistral_layer16.B5000.results.jsonl
pubmedqa,mistral,24,mtp,1,0.7128078581120839,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_mistral\layer_24\pubmedqa_mistral_layer24.B5000.results.jsonl
pubmedqa,mistral,32,mtp,1,0.7128078581120839,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_mistral\layer_32\pubmedqa_mistral_layer32.B5000.results.jsonl
